board_name,instance_id,ref_des,wacv_type,raw_annotation,kicad_class,kicad_footprint,box_x1,box_y1,box_x2,box_y2,confidence,num_polygon_points,polygon_points_compact,polygon_points_json
ACM-109_Bottom,1,J1,connector,connector CNA,Connector,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vert,79,12,495,111,0.898,19,"(82.0,24.0); (83.0,100.0); (159.0,87.0); (181.0,93.0); (200.0,87.0); (223.0,93.0); (236.0,87.0); (258.0,93.0); (444.0,88.0); (455.0,100.0); (486.0,100.0); (486.0,30.0); (456.0,24.0); (442.0,33.0); (440.0,16.0); (447.0,15.0); (136.0,15.0); (128.0,34.0); (113.0,24.0)","[[82.0, 24.0], [83.0, 100.0], [159.0, 87.0], [181.0, 93.0], [200.0, 87.0], [223.0, 93.0], [236.0, 87.0], [258.0, 93.0], [444.0, 88.0], [455.0, 100.0], [486.0, 100.0], [486.0, 30.0], [456.0, 24.0], [442.0, 33.0], [440.0, 16.0], [447.0, 15.0], [136.0, 15.0], [128.0, 34.0], [113.0, 24.0]]"
ACM-109_Bottom,2,R1,resistor,resistor R10,Resistor_SMD,Resistor_SMD:R_0805_2012Metric,58,175,74,199,0.928,16,"(59.0,172.0); (58.0,173.0); (58.0,187.0); (59.0,188.0); (59.0,190.0); (58.0,191.0); (58.0,198.0); (71.0,198.0); (71.0,190.0); (73.0,187.0); (73.0,182.0); (71.0,179.0); (71.0,174.0); (70.0,173.0); (67.0,173.0); (66.0,172.0)","[[59.0, 172.0], [58.0, 173.0], [58.0, 187.0], [59.0, 188.0], [59.0, 190.0], [58.0, 191.0], [58.0, 198.0], [71.0, 198.0], [71.0, 190.0], [73.0, 187.0], [73.0, 182.0], [71.0, 179.0], [71.0, 174.0], [70.0, 173.0], [67.0, 173.0], [66.0, 172.0]]"
ACM-109_Bottom,3,U1,component,"""emi filter"" EM5",Generic_Component,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,284,198,306,240,0.933,23,"(284.0,199.0); (283.0,201.0); (284.0,203.0); (283.0,204.0); (283.0,207.0); (285.0,212.0); (284.0,236.0); (285.0,237.0); (302.0,237.0); (304.0,236.0); (304.0,232.0); (303.0,231.0); (303.0,223.0); (305.0,220.0); (303.0,217.0); (304.0,216.0); (304.0,214.0); (303.0,213.0); (304.0,199.0); (302.0,198.0); (301.0,199.0); (297.0,199.0); (296.0,198.0)","[[284.0, 199.0], [283.0, 201.0], [284.0, 203.0], [283.0, 204.0], [283.0, 207.0], [285.0, 212.0], [284.0, 236.0], [285.0, 237.0], [302.0, 237.0], [304.0, 236.0], [304.0, 232.0], [303.0, 231.0], [303.0, 223.0], [305.0, 220.0], [303.0, 217.0], [304.0, 216.0], [304.0, 214.0], [303.0, 213.0], [304.0, 199.0], [302.0, 198.0], [301.0, 199.0], [297.0, 199.0], [296.0, 198.0]]"
ACM-109_Bottom,4,C1,capacitor,capacitor C18,Capacitor_SMD,Capacitor_SMD:C_0805_2012Metric,265,215,281,240,0.924,13,"(267.0,214.0); (265.0,216.0); (265.0,217.0); (264.0,218.0); (265.0,219.0); (265.0,237.0); (267.0,240.0); (276.0,240.0); (277.0,239.0); (277.0,223.0); (278.0,222.0); (278.0,216.0); (276.0,214.0)","[[267.0, 214.0], [265.0, 216.0], [265.0, 217.0], [264.0, 218.0], [265.0, 219.0], [265.0, 237.0], [267.0, 240.0], [276.0, 240.0], [277.0, 239.0], [277.0, 223.0], [278.0, 222.0], [278.0, 216.0], [276.0, 214.0]]"
ACM-109_Bottom,5,R2,resistor,resistor R1,Resistor_SMD,Resistor_SMD:R_0805_2012Metric,457,187,484,201,0.912,22,"(457.0,189.0); (457.0,197.0); (456.0,198.0); (456.0,201.0); (465.0,201.0); (466.0,200.0); (467.0,201.0); (481.0,201.0); (482.0,200.0); (482.0,197.0); (481.0,196.0); (481.0,189.0); (480.0,188.0); (475.0,188.0); (474.0,189.0); (471.0,189.0); (470.0,188.0); (468.0,188.0); (467.0,189.0); (466.0,189.0); (465.0,188.0); (458.0,188.0)","[[457.0, 189.0], [457.0, 197.0], [456.0, 198.0], [456.0, 201.0], [465.0, 201.0], [466.0, 200.0], [467.0, 201.0], [481.0, 201.0], [482.0, 200.0], [482.0, 197.0], [481.0, 196.0], [481.0, 189.0], [480.0, 188.0], [475.0, 188.0], [474.0, 189.0], [471.0, 189.0], [470.0, 188.0], [468.0, 188.0], [467.0, 189.0], [466.0, 189.0], [465.0, 188.0], [458.0, 188.0]]"
ACM-109_Bottom,6,R3,resistor,resistor R2,Resistor_SMD,Resistor_SMD:R_0805_2012Metric,458,170,484,184,0.895,33,"(456.0,171.0); (457.0,172.0); (457.0,181.0); (458.0,182.0); (460.0,182.0); (461.0,181.0); (462.0,182.0); (465.0,182.0); (466.0,181.0); (467.0,181.0); (468.0,182.0); (471.0,182.0); (472.0,181.0); (473.0,182.0); (480.0,182.0); (481.0,181.0); (481.0,174.0); (482.0,173.0); (482.0,170.0); (481.0,169.0); (478.0,169.0); (477.0,170.0); (475.0,170.0); (474.0,171.0); (472.0,171.0); (471.0,170.0); (468.0,170.0); (468.0,171.0); (466.0,173.0); (462.0,170.0); (460.0,170.0); (459.0,169.0); (458.0,169.0)","[[456.0, 171.0], [457.0, 172.0], [457.0, 181.0], [458.0, 182.0], [460.0, 182.0], [461.0, 181.0], [462.0, 182.0], [465.0, 182.0], [466.0, 181.0], [467.0, 181.0], [468.0, 182.0], [471.0, 182.0], [472.0, 181.0], [473.0, 182.0], [480.0, 182.0], [481.0, 181.0], [481.0, 174.0], [482.0, 173.0], [482.0, 170.0], [481.0, 169.0], [478.0, 169.0], [477.0, 170.0], [475.0, 170.0], [474.0, 171.0], [472.0, 171.0], [471.0, 170.0], [468.0, 170.0], [468.0, 171.0], [466.0, 173.0], [462.0, 170.0], [460.0, 170.0], [459.0, 169.0], [458.0, 169.0]]"
ACM-109_Bottom,7,R4,resistor,resistor R3,Resistor_SMD,Resistor_SMD:R_0805_2012Metric,430,170,457,184,0.916,29,"(428.0,170.0); (428.0,177.0); (429.0,178.0); (429.0,180.0); (428.0,181.0); (429.0,182.0); (429.0,183.0); (431.0,183.0); (432.0,182.0); (440.0,182.0); (442.0,184.0); (445.0,181.0); (446.0,182.0); (449.0,182.0); (450.0,183.0); (453.0,183.0); (454.0,182.0); (454.0,170.0); (453.0,169.0); (449.0,169.0); (445.0,173.0); (442.0,170.0); (441.0,170.0); (440.0,171.0); (438.0,171.0); (437.0,172.0); (436.0,172.0); (432.0,169.0); (429.0,169.0)","[[428.0, 170.0], [428.0, 177.0], [429.0, 178.0], [429.0, 180.0], [428.0, 181.0], [429.0, 182.0], [429.0, 183.0], [431.0, 183.0], [432.0, 182.0], [440.0, 182.0], [442.0, 184.0], [445.0, 181.0], [446.0, 182.0], [449.0, 182.0], [450.0, 183.0], [453.0, 183.0], [454.0, 182.0], [454.0, 170.0], [453.0, 169.0], [449.0, 169.0], [445.0, 173.0], [442.0, 170.0], [441.0, 170.0], [440.0, 171.0], [438.0, 171.0], [437.0, 172.0], [436.0, 172.0], [432.0, 169.0], [429.0, 169.0]]"
ACM-109_Bottom,8,R5,resistor,resistor R4,Resistor_SMD,Resistor_SMD:R_0805_2012Metric,429,186,457,200,0.896,23,"(428.0,187.0); (428.0,200.0); (429.0,200.0); (430.0,201.0); (434.0,201.0); (436.0,199.0); (438.0,199.0); (440.0,201.0); (442.0,201.0); (445.0,199.0); (448.0,201.0); (454.0,201.0); (454.0,190.0); (453.0,189.0); (453.0,187.0); (450.0,187.0); (447.0,189.0); (443.0,189.0); (442.0,188.0); (437.0,189.0); (436.0,188.0); (431.0,188.0); (430.0,187.0)","[[428.0, 187.0], [428.0, 200.0], [429.0, 200.0], [430.0, 201.0], [434.0, 201.0], [436.0, 199.0], [438.0, 199.0], [440.0, 201.0], [442.0, 201.0], [445.0, 199.0], [448.0, 201.0], [454.0, 201.0], [454.0, 190.0], [453.0, 189.0], [453.0, 187.0], [450.0, 187.0], [447.0, 189.0], [443.0, 189.0], [442.0, 188.0], [437.0, 189.0], [436.0, 188.0], [431.0, 188.0], [430.0, 187.0]]"
ACM-109_Bottom,9,C2,capacitor,capacitor C5,Capacitor_SMD,Capacitor_SMD:C_0805_2012Metric,432,221,457,235,0.945,27,"(431.0,225.0); (431.0,231.0); (432.0,232.0); (432.0,233.0); (434.0,235.0); (435.0,235.0); (436.0,236.0); (437.0,236.0); (438.0,235.0); (454.0,235.0); (457.0,233.0); (457.0,222.0); (456.0,221.0); (451.0,221.0); (450.0,220.0); (449.0,220.0); (448.0,221.0); (446.0,221.0); (445.0,220.0); (444.0,221.0); (440.0,221.0); (439.0,220.0); (437.0,220.0); (436.0,221.0); (434.0,221.0); (432.0,223.0); (432.0,224.0)","[[431.0, 225.0], [431.0, 231.0], [432.0, 232.0], [432.0, 233.0], [434.0, 235.0], [435.0, 235.0], [436.0, 236.0], [437.0, 236.0], [438.0, 235.0], [454.0, 235.0], [457.0, 233.0], [457.0, 222.0], [456.0, 221.0], [451.0, 221.0], [450.0, 220.0], [449.0, 220.0], [448.0, 221.0], [446.0, 221.0], [445.0, 220.0], [444.0, 221.0], [440.0, 221.0], [439.0, 220.0], [437.0, 220.0], [436.0, 221.0], [434.0, 221.0], [432.0, 223.0], [432.0, 224.0]]"
ACM-109_Bottom,10,C3,capacitor,capacitor C20,Capacitor_SMD,Capacitor_SMD:C_0805_2012Metric,496,313,522,327,0.944,29,"(495.0,316.0); (495.0,321.0); (496.0,322.0); (496.0,325.0); (498.0,327.0); (503.0,327.0); (504.0,328.0); (509.0,328.0); (510.0,327.0); (511.0,327.0); (512.0,328.0); (516.0,328.0); (517.0,327.0); (520.0,327.0); (522.0,324.0); (522.0,316.0); (521.0,315.0); (521.0,314.0); (518.0,312.0); (514.0,312.0); (513.0,313.0); (512.0,313.0); (511.0,312.0); (507.0,312.0); (506.0,313.0); (498.0,313.0); (497.0,314.0); (496.0,314.0); (496.0,315.0)","[[495.0, 316.0], [495.0, 321.0], [496.0, 322.0], [496.0, 325.0], [498.0, 327.0], [503.0, 327.0], [504.0, 328.0], [509.0, 328.0], [510.0, 327.0], [511.0, 327.0], [512.0, 328.0], [516.0, 328.0], [517.0, 327.0], [520.0, 327.0], [522.0, 324.0], [522.0, 316.0], [521.0, 315.0], [521.0, 314.0], [518.0, 312.0], [514.0, 312.0], [513.0, 313.0], [512.0, 313.0], [511.0, 312.0], [507.0, 312.0], [506.0, 313.0], [498.0, 313.0], [497.0, 314.0], [496.0, 314.0], [496.0, 315.0]]"
