board_name,instance_id,ref_des,wacv_type,raw_annotation,kicad_class,kicad_footprint,box_x1,box_y1,box_x2,box_y2,confidence,num_polygon_points,polygon_points_compact,polygon_points_json
ArduinoMega_Top,1,U1,ic,ic unknown,Package_SO,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1946,1130,2382,1561,0.957,16,"(2305.0,1134.0); (2035.0,1140.0); (2024.0,1153.0); (2049.0,1167.0); (1959.0,1206.0); (1958.0,1489.0); (2023.0,1514.0); (2030.0,1553.0); (2296.0,1551.0); (2346.0,1484.0); (2353.0,1453.0); (2371.0,1484.0); (2371.0,1202.0); (2351.0,1224.0); (2344.0,1198.0); (2308.0,1166.0)","[[2305.0, 1134.0], [2035.0, 1140.0], [2024.0, 1153.0], [2049.0, 1167.0], [1959.0, 1206.0], [1958.0, 1489.0], [2023.0, 1514.0], [2030.0, 1553.0], [2296.0, 1551.0], [2346.0, 1484.0], [2353.0, 1453.0], [2371.0, 1484.0], [2371.0, 1202.0], [2351.0, 1224.0], [2344.0, 1198.0], [2308.0, 1166.0]]"
ArduinoMega_Top,2,J1,connector,connector unknown,Connector,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vert,775,955,1175,1260,0.958,6,"(1162.0,960.0); (1050.0,954.0); (781.0,964.0); (783.0,1242.0); (1158.0,1242.0); (1165.0,1227.0)","[[1162.0, 960.0], [1050.0, 954.0], [781.0, 964.0], [783.0, 1242.0], [1158.0, 1242.0], [1165.0, 1227.0]]"
ArduinoMega_Top,3,J2,connector,connector unknown,Connector,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vert,887,1720,1289,2022,0.946,23,"(898.0,1728.0); (895.0,1891.0); (903.0,1929.0); (1139.0,1936.0); (1134.0,1966.0); (1145.0,1965.0); (1146.0,1948.0); (1153.0,1979.0); (1130.0,1993.0); (1139.0,2009.0); (1179.0,2011.0); (1212.0,1981.0); (1217.0,1932.0); (1238.0,1918.0); (1246.0,1882.0); (1275.0,1869.0); (1255.0,1857.0); (1248.0,1803.0); (1265.0,1793.0); (1246.0,1783.0); (1234.0,1748.0); (1179.0,1725.0); (924.0,1720.0)","[[898.0, 1728.0], [895.0, 1891.0], [903.0, 1929.0], [1139.0, 1936.0], [1134.0, 1966.0], [1145.0, 1965.0], [1146.0, 1948.0], [1153.0, 1979.0], [1130.0, 1993.0], [1139.0, 2009.0], [1179.0, 2011.0], [1212.0, 1981.0], [1217.0, 1932.0], [1238.0, 1918.0], [1246.0, 1882.0], [1275.0, 1869.0], [1255.0, 1857.0], [1248.0, 1803.0], [1265.0, 1793.0], [1246.0, 1783.0], [1234.0, 1748.0], [1179.0, 1725.0], [924.0, 1720.0]]"
ArduinoMega_Top,4,J3,connector,connector unknown,Connector,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vert,1295,858,1477,979,0.935,16,"(1304.0,871.0); (1293.0,893.0); (1292.0,958.0); (1302.0,980.0); (1329.0,982.0); (1359.0,973.0); (1387.0,981.0); (1419.0,971.0); (1437.0,979.0); (1455.0,979.0); (1471.0,969.0); (1475.0,931.0); (1470.0,862.0); (1368.0,859.0); (1345.0,865.0); (1323.0,863.0)","[[1304.0, 871.0], [1293.0, 893.0], [1292.0, 958.0], [1302.0, 980.0], [1329.0, 982.0], [1359.0, 973.0], [1387.0, 981.0], [1419.0, 971.0], [1437.0, 979.0], [1455.0, 979.0], [1471.0, 969.0], [1475.0, 931.0], [1470.0, 862.0], [1368.0, 859.0], [1345.0, 865.0], [1323.0, 863.0]]"
ArduinoMega_Top,5,U2,ic,ic unknown,Package_SO,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1356,1125,1493,1273,0.964,14,"(1370.0,1131.0); (1362.0,1147.0); (1360.0,1162.0); (1362.0,1240.0); (1368.0,1253.0); (1376.0,1260.0); (1402.0,1264.0); (1456.0,1264.0); (1480.0,1258.0); (1487.0,1247.0); (1490.0,1227.0); (1490.0,1168.0); (1483.0,1136.0); (1469.0,1129.0)","[[1370.0, 1131.0], [1362.0, 1147.0], [1360.0, 1162.0], [1362.0, 1240.0], [1368.0, 1253.0], [1376.0, 1260.0], [1402.0, 1264.0], [1456.0, 1264.0], [1480.0, 1258.0], [1487.0, 1247.0], [1490.0, 1227.0], [1490.0, 1168.0], [1483.0, 1136.0], [1469.0, 1129.0]]"
ArduinoMega_Top,6,D1,led,led L,LED_SMD,LED_SMD:LED_0805_2012Metric,1575,999,1659,1040,0.922,15,"(1584.0,1005.0); (1582.0,1017.0); (1583.0,1034.0); (1590.0,1038.0); (1599.0,1040.0); (1632.0,1040.0); (1645.0,1038.0); (1651.0,1033.0); (1653.0,1025.0); (1653.0,1015.0); (1651.0,1006.0); (1647.0,1002.0); (1631.0,998.0); (1601.0,998.0); (1588.0,1001.0)","[[1584.0, 1005.0], [1582.0, 1017.0], [1583.0, 1034.0], [1590.0, 1038.0], [1599.0, 1040.0], [1632.0, 1040.0], [1645.0, 1038.0], [1651.0, 1033.0], [1653.0, 1025.0], [1653.0, 1015.0], [1651.0, 1006.0], [1647.0, 1002.0], [1631.0, 998.0], [1601.0, 998.0], [1588.0, 1001.0]]"
ArduinoMega_Top,7,D2,led,led TX,LED_SMD,LED_SMD:LED_0805_2012Metric,1577,1130,1656,1171,0.928,15,"(1580.0,1146.0); (1580.0,1161.0); (1582.0,1166.0); (1588.0,1170.0); (1595.0,1172.0); (1643.0,1171.0); (1651.0,1168.0); (1655.0,1162.0); (1655.0,1144.0); (1652.0,1136.0); (1650.0,1134.0); (1639.0,1131.0); (1597.0,1130.0); (1587.0,1134.0); (1584.0,1137.0)","[[1580.0, 1146.0], [1580.0, 1161.0], [1582.0, 1166.0], [1588.0, 1170.0], [1595.0, 1172.0], [1643.0, 1171.0], [1651.0, 1168.0], [1655.0, 1162.0], [1655.0, 1144.0], [1652.0, 1136.0], [1650.0, 1134.0], [1639.0, 1131.0], [1597.0, 1130.0], [1587.0, 1134.0], [1584.0, 1137.0]]"
ArduinoMega_Top,8,D3,led,led RX,LED_SMD,LED_SMD:LED_0805_2012Metric,1575,1189,1659,1227,0.921,14,"(1581.0,1193.0); (1581.0,1219.0); (1583.0,1223.0); (1589.0,1227.0); (1634.0,1228.0); (1645.0,1226.0); (1649.0,1224.0); (1653.0,1219.0); (1656.0,1204.0); (1656.0,1194.0); (1654.0,1189.0); (1648.0,1185.0); (1594.0,1185.0); (1585.0,1188.0)","[[1581.0, 1193.0], [1581.0, 1219.0], [1583.0, 1223.0], [1589.0, 1227.0], [1634.0, 1228.0], [1645.0, 1226.0], [1649.0, 1224.0], [1653.0, 1219.0], [1656.0, 1204.0], [1656.0, 1194.0], [1654.0, 1189.0], [1648.0, 1185.0], [1594.0, 1185.0], [1585.0, 1188.0]]"
ArduinoMega_Top,9,Y1,clock,clock unknown,Crystal,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,1256,1351,1525,1469,0.968,13,"(1261.0,1403.0); (1271.0,1438.0); (1291.0,1457.0); (1306.0,1463.0); (1468.0,1463.0); (1492.0,1456.0); (1506.0,1441.0); (1516.0,1421.0); (1518.0,1391.0); (1506.0,1368.0); (1484.0,1355.0); (1304.0,1354.0); (1274.0,1370.0)","[[1261.0, 1403.0], [1271.0, 1438.0], [1291.0, 1457.0], [1306.0, 1463.0], [1468.0, 1463.0], [1492.0, 1456.0], [1506.0, 1441.0], [1516.0, 1421.0], [1518.0, 1391.0], [1506.0, 1368.0], [1484.0, 1355.0], [1304.0, 1354.0], [1274.0, 1370.0]]"
ArduinoMega_Top,10,U3,ic,ic unknown,Package_SO,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1052,1522,1262,1692,0.903,24,"(1054.0,1564.0); (1056.0,1650.0); (1102.0,1649.0); (1112.0,1678.0); (1130.0,1685.0); (1258.0,1676.0); (1254.0,1641.0); (1242.0,1637.0); (1210.0,1649.0); (1199.0,1632.0); (1210.0,1616.0); (1240.0,1626.0); (1257.0,1619.0); (1254.0,1590.0); (1210.0,1594.0); (1199.0,1585.0); (1200.0,1569.0); (1209.0,1563.0); (1257.0,1567.0); (1261.0,1548.0); (1254.0,1535.0); (1127.0,1525.0); (1111.0,1531.0); (1103.0,1562.0)","[[1054.0, 1564.0], [1056.0, 1650.0], [1102.0, 1649.0], [1112.0, 1678.0], [1130.0, 1685.0], [1258.0, 1676.0], [1254.0, 1641.0], [1242.0, 1637.0], [1210.0, 1649.0], [1199.0, 1632.0], [1210.0, 1616.0], [1240.0, 1626.0], [1257.0, 1619.0], [1254.0, 1590.0], [1210.0, 1594.0], [1199.0, 1585.0], [1200.0, 1569.0], [1209.0, 1563.0], [1257.0, 1567.0], [1261.0, 1548.0], [1254.0, 1535.0], [1127.0, 1525.0], [1111.0, 1531.0], [1103.0, 1562.0]]"
